mg,freq
any,69
fiteny,43
malagasy,42
madagasikara,36
tamin,32
no,31
ireo,31
avy,21
izy,20
taona,20
foko,18
misy,17
monina,14
niisa,14
atsimo,13
eto,12
teny,12
lehibe,11
faritra,11
tanàna,10
manana,9
koa,9
hoe,8
indrindra,8
atsinanana,8
sakalava,8
morontsiraka,8
miteny,8
izany,7
merina,7
eo,7
betsimisaraka,7
frantsay,7
olona,6
sasany,6
faha,6
afrika,6
betsileo,6
izao,5
taonjato,5
azy,5
arabo,5
antefasy,5
antemoro,5
tanala,5
tanàndehibe,5
andrefana,5
tany,5
heverina,5
teto,5
sinoa,5
kômôriana,5
io,4
endrika,4
voambolana,4
ihany,4
mitovy,4
tonga,4
indônezia,4
ireto,4
antankarana,4
sihanaka,4
zafisoro,4
ahitana,4
tanin,4
avaratra,4
tapany,4
atsimoatsinanana,4
zanapokon,4
aminy,4
masikoro,4
karàna,4
aminny,3
vahoaka,3
firenena,3
miisa,3
kokoa,3
afrikana,3
hafa,3
rehetra,3
ôfisialy,3
nanorina,3
nisy,3
antambahoaka,3
antanosy,3
bara,3
tsimihety,3
manaraka,3
faritanin,3
anelanelan,3
teo,3
isan,3
taompolo,3
atsimoatsinanan,3
manodidina,3
nitondra,3
ony,3
atsimoandrefana,3
vezo,3
anisan,3
anglisy,3
sekoly,3
fivavahana,3
misiônera,3
razambe,2
ivelany,2
anarana,2
onenan,2
fotoana,2
nosy,2
latsaky,2
samihafa,2
aza,2
mampiasa,2
razan,2
ankehitriny,2
amantarana,2
fiavian,2
fantatra,2
lafiny,2
volana,2
fotsiny,2
samy,2
atsy,2
soahily,2
andevo,2
antesaka,2
antandroy,2
bezanozano,2
mahafaly,2
lemaka,2
toamasina,2
mahajanga,2
vangaindrano,2
voafaritry,2
tendron,2
tanosy,2
midadasika,2
avaratraandrefan,2
makoa,2
atsimoandrefan,2
toerana,2
fianarantsoa,2
tombanana,2
zafimaniry,2
nentimpaharazana,2
maha,2
indiana,2
pakistaney,2
eorôpeana,2
zompirenena,2
ampielezana,2
etazonia,2
mpifindra,2
maro,2
toy,2
ampiasaina,2
taloha,2
araka,2
antontanisan,2
akademia,2
afatsy,2
sns,2
vitsy,2
hindoisma,2
razana,2
mponina,2
katôlika,2
prôtestanta,2
mozilmana,2
ankamaroany,2
mpino,2
